,Airline,Overall Rating,Reviews,Boarding,Comfort,Crew,Entertainment,Food
76,Kenya Airways,6.8 Good,254,6.9,6.8,7.3,6.3,6.3
77,Azores Airlines,Based on 44 reviews,55,6.0,7.3,3.1,5.7,
78,Vistara,7.3 Good,103,7.8,7.8,7.9,6.6,7.2
79,Condor,Based on 228 reviews,58,5.7,6.7,5.4,5.7,
80,Luxair,6.9 Good,32,6.8,6.6,7.3,6.4,6.8
81,VivaAerobus,6.2 Good,556,6.3,6.2,7.1,5.1,5.4
82,WestJet,6.9 Good,1677,7.2,6.9,7.9,5.9,6.0
83,Air Arabia,7.3 Good,24,7.3,8.0,8.2,6.6,6.9
84,flydubai,Based on 94 reviews,58,5.4,6.7,4.7,5.2,
85,Air Algerie,6.0 Good,16,6.2,5.7,6.7,4.9,5.7
86,Air New Zealand,7.7 Good,388,7.9,7.7,8.5,7.6,7.3
87,TAROM,6.6 Good,84,6.9,6.9,7.5,5.4,6.0
88,Aerolineas Argentinas,7.2 Good,539,7.4,7.1,7.9,5.6,6.0
89,Air India Express,Based on 7 reviews,42,5.1,5.7,3.9,4.9,
90,EL AL,7.0 Good,332,7.1,6.7,8.0,6.5,6.7
91,Thai Lion Air,6.2 Good,24,6.2,5.7,7.3,5.6,5.8
92,Air Malta,6.3 Good,45,6.5,6.6,7.2,4.7,5.4
93,MEA,7.8 Good,103,8.3,7.6,8.4,7.5,7.5
94,SpiceJet,Based on 92 reviews,51,5.0,6.4,4.1,4.5,
95,Thai AirAsia,6.6 Good,172,7.1,6.1,7.5,4.9,5.6
96,Croatia Airlines,6.4 Good,70,6.6,6.3,7.0,5.3,5.6
97,Azul,7.4 Good,493,7.5,7.5,8.4,7.2,6.9
98,AirAsia,Based on 155 reviews,62,5.9,6.8,4.7,5.5,
99,Hawaiian Airlines,7.5 Good,1279,7.8,7.4,8.5,6.8,6.8
100,AirAsia India,6.3 Good,10,6.2,6.6,7.4,6.2,6.6
101,Porter Airlines,6.6 Good,290,6.7,6.9,7.8,5.7,6.9
102,Air Transat,6.7 Good,276,7.0,6.2,7.8,6.0,5.9
103,Shanghai Airlines,Based on 41 reviews,56,4.9,6.0,4.5,4.8,
104,Batik Air,Based on 10 reviews,68,5.2,6.2,3.8,4.4,
105,Jetstar,6.1 Good,513,6.4,6.0,6.9,4.7,5.2
106,Bangkok Airways,7.9 Good,165,8.2,8.1,8.7,6.5,7.5
107,South African,7.0 Good,151,7.2,7.0,7.9,5.7,6.9
108,Tunisair,Based on 73 reviews,53,5.4,6.1,4.5,5.1,
109,T'way Air,6.1 Good,7,6.5,6.0,6.8,3.6,5.6
110,HK Express,Based on 38 reviews,63,5.7,6.2,4.7,4.5,
111,Jeju Air,7.9 Good,12,8.1,7.5,8.8,5.1,4.6
112,Flair Airlines,Based on 103 reviews,61,5.5,6.7,3.9,4.2,
113,FlySafair,7.7 Good,36,7.8,7.4,8.4,6.0,6.4
